No,Nama Prodi,Nama PT,Jenjang,LLDikti,
1,ADMINISTRASI RUMAH SAKIT,AKADEMI ADMINISTRASI RUMAH SAKIT MATARAM,D-III,8,
2,Akuntansi,Akademi Akuntansi (AKTAN) Boekittinggi,D-III,10,
3,Akuntansi,Akademi Akuntansi Bandung,D-III,4,
4,Akuntansi,Akademi Akuntansi Bina Insani,D-III,4,
5,Akuntansi,Akademi Akuntansi Borobudur,D-III,3,
6,Manajemen Informatika,Akademi Akuntansi Dan Komputer Stephen Jambi,D-III,10,
7,Komputerisasi Akuntansi,Akademi Akuntansi Dan Komputer Stephen Jambi,D-III,10,
8,Akuntansi,Akademi Akuntansi Dan Manajemen Mitra Lampung,D-III,2,
9,Akuntansi,Akademi Akuntansi Dan Manajemen Pembangunan,D-III,10,
10,Akuntansi,Akademi Akuntansi Denpasar,D-III,8,
11,Akuntansi,Akademi Akuntansi Effendi Harahap,D-III,6,
12,Akuntansi,Akademi Akuntansi Indonesia Padang,D-III,10,
13,Akuntansi,Akademi Akuntansi Jayabaya,D-III,3,
14,Akuntansi,Akademi Akuntansi Keuangan Dan Perbankan Indonesia,D-III,4,
15,Keuangan Dan Perbankan,Akademi Akuntansi Keuangan Dan Perbankan Indonesia,D-III,4,
16,Akuntansi,Akademi Akuntansi Lampung,D-III,2,
17,Akuntansi,Akademi Akuntansi Muhammadiyah Klaten,D-III,6,
18,Akuntansi,Akademi Akuntansi Permata Harapan Batam,D-III,10,
19,Akuntansi,Akademi Akuntansi PGRI Jember,D-III,7,
20,Akuntansi,Akademi Akuntansi Riau,D-III,10,
21,Akuntansi,Akademi Akuntansi YAI Jakarta,D-III,3,
22,Akuntansi,Akademi Akuntansi YKPN,D-III,5,
23,Akuntansi,Akademi Akuntansi YPK Medan,D-III,1,
24,AKUPUNKTUR,AKADEMI AKUPUNKTUR SURABAYA,,,
25,ANALIS FARMASI,AKADEMI ANALIS FARMASI AL-ISLAM,,,
26,ANALIS FARMASI DAN MAKANAN,AKADEMI ANALIS FARMASI DAN MAKANAN BANDA ACEH,,,
27,ANALIS FARMASI DAN MAKANAN,AKADEMI ANALIS FARMASI DAN MAKANAN PUTRA INDONESIA,,,
28,ANALIS FARMASI DAN MAKANAN,AKADEMI ANALIS FARMASI DAN MAKANAN SUNAN GIRI PONOROGO,D-III,7,
29,ANALIS KESEHATAN,AKADEMI ANALIS KESEHATAN 17 AGUSTUS 1945 SEMARANG,,,
30,ANALIS KESEHATAN,AKADEMI ANALIS KESEHATAN AN NASHER,,,
31,ANALIS KESEHATAN,AKADEMI ANALIS KESEHATAN DELIMA HUSADA GRESIK,,,
32,ANALIS KESEHATAN,AKADEMI ANALIS KESEHATAN HARAPAN BANGSA,D-III,2,
33,ANALIS KESEHATAN,AKADEMI ANALIS KESEHATAN MALANG,,,
34,ANALIS KESEHATAN,AKADEMI ANALIS KESEHATAN MANGGALA YOGYAKARTA,D-III,5,
35,ANALIS KESEHATAN,AKADEMI ANALIS KESEHATAN MUHAMMADIYAH MAKASSAR,,,
36,ANALIS KESEHATAN,AKADEMI ANALIS KESEHATAN PEKALONGAN,,,
37,ANALISIS KESEHATAN,AKADEMI ANALIS KESEHATAN PEKANBARU,,,
38,ANALIS KESEHATAN,AKADEMI ANALIS KESEHATAN PUTRA JAYA BATAM,,,
39,ANALISIS KESEHATAN,AKADEMI ANALIS KESEHATAN WIDYA DHARMA,,,
40,Teknik Mesin Kapal Perang,Akademi Angkatan Laut Surabaya,D-IV,,
41,Manajemen Pertahanan Matra Laut Aspek Dar,Akademi Angkatan Laut Surabaya,D-IV,,
42,Manajemen Logistik Dan Keuangan  Matra La,Akademi Angkatan Laut Surabaya,D-IV,,
43,Manajemen Pertahanan Matra Laut,Akademi Angkatan Laut Surabaya,D-IV,,
44,Teknik Aeronautika Pertahanan,Akademi Angkatan Udara (AAU),D-IV,,
45,Teknik Manajemen Industri Pertahanan,Akademi Angkatan Udara (AAU),D-IV,,
46,Teknik Elektronika Pertahanan,Akademi Angkatan Udara (AAU),D-IV,,
47,AUDIOLOGI,AKADEMI AUDIOLOGI INDONESIA,,,
48,Bahasa Inggris,Akademi Bahasa Asing Balikpapan,D-III,11,
49,Bahasa Inggris,Akademi Bahasa Asing Bina Insan Indonesia,D-III,2,
50,Bahasa Inggris,Akademi Bahasa Asing Colorado Samarinda,D-III,11,
51,Bahasa Inggris,Akademi Bahasa Asing Dian Cipta Cendikia,D-III,2,
52,Bahasa Inggris,Akademi Bahasa Asing Harapan Bangsa,D-III,6,
53,Bahasa Mandarin,Akademi Bahasa Asing Internasional Bandung,D-III,4,
54,Bahasa Inggris,Akademi Bahasa Asing Permata Harapan,D-III,10,
55,Bahasa Inggris,Akademi Bahasa Asing Permata Hati Tarakan,D-III,11,
56,Bahasa Inggris,Akademi Bahasa Asing Persada Bunda,D-III,10,
57,Bahasa Inggris,Akademi Bahasa Asing Sinema Yogyakarta,D-III,5,
58,Bahasa Inggris,Akademi Bahasa Asing St Pignatelli,D-III,6,
59,Bahasa Inggris,Akademi Bahasa Asing UMI Makassar,D-III,9,
60,Bahasa Inggris,Akademi Bahasa Asing Widya Dharma,D-III,11,
61,TEKNOLOGI BANK DARAH,AKADEMI BAKTI KEMANUSIAAN PALANG MERAH INDONESIA,,,
62,Kewirausahaan,Akademi Enterpreneurship Terang Bangsa,D-III,6,
63,Akuntansi,Akademi Enterpreneurship Terang Bangsa,D-III,6,
64,FARMASI ,AKADEMI FARMASI  YARSI  PONTIANAK,,,
65,FARMASI,AKADEMI FARMASI AL-ISHLAH CILEGON,,,
66,FARMASI,AKADEMI FARMASI BHUMI HUSADA,,,
67,FARMASI,AKADEMI FARMASI BINA FARMASI,,,
68,FARMASI,AKADEMI FARMASI BUMI SILIWANGI,,,
69,FARMASI,AKADEMI FARMASI DWI FARMA,,,
70,FARMASI,AKADEMI FARMASI IMAM BONJOL,,,
71,FARMASI,AKADEMI FARMASI INDAH DELI SERDANG,,,
72,FARMASI,AKADEMI FARMASI INDONESIA YOGYAKARTA,,,
73,FARMASI,AKADEMI FARMASI INSTITUT KEJURUAN ILMU FARMASI,D-III,3,
74,FARMASI,AKADEMI FARMASI ISFI BANJARMASIN,D-III,11,
75,FARMASI,AKADEMI FARMASI JEMBER,,,
76,FARMASI,AKADEMI FARMASI KALTARA TARAKAN,,,
77,FARMASI,AKADEMI FARMASI KEBANGSAAN MAKASSAR,,,
78,FARMASI,AKADEMI FARMASI KUSUMA HUSADA PURWOKERTO,,,
